Pos.,Sexo,Nombre,Ranking. Frecuencia,Ranking. �
1177,H,LEONEL,4,0.06
1177,H,LEVI,4,0.06
1177,H,LINUS,4,0.06
1177,H,LLEIR,4,0.06
1177,M,LOU,4,0.06
1177,H,LOU,4,0.06
1177,H,LUAR,4,0.06
1177,H,LUAY,4,0.06
1177,H,LUIS MIGUEL,4,0.06
1177,M,MAHNOOR,4,0.06
1177,M,MAIALEN,4,0.06
1177,H,MALICK,4,0.06
1177,H,MAMADOU LAMINE,4,0.06
1177,H,MARC ALEXANDER,4,0.06
1177,H,MARCELO,4,0.06
1177,M,MARIA CRISTINA/MAR�A CRISTINA,4,0.06
1177,M,MARIA DOLORES/MAR�A DOLORES,4,0.06
1177,M,MARIA LUISA/MAR�A LUISA,4,0.06
1177,M,MARIA VALENTINA/MAR�A VALENTINA,4,0.06
1177,M,MAROUA,4,0.06
1177,H,MATEI,4,0.06
1177,H,MAUR/MA�R,4,0.06
1177,H,MAXIMILIANO,4,0.06
1177,H,MAXIMILI�N,4,0.06
1177,M,MELINA,4,0.06
1177,M,MELISA,4,0.06
1177,M,MEL�NIA/MELANIA,4,0.06
1177,M,MERCEDES,4,0.06
1177,M,MERYAM,4,0.06
1177,H,MIHAI,4,0.06
1177,M,MIRYAM,4,0.06
1177,H,MOAYAD,4,0.06
1177,H,MOHAMED AMINE,4,0.06
1177,H,MOHAMED AMIR,4,0.06
1177,H,MOHAMED YASIN,4,0.06
1177,M,MONTSE,4,0.06
1177,H,MORAD,4,0.06
1177,H,MOSAAB,4,0.06
1177,H,MOUNIR,4,0.06
1177,H,MUHAMMAD HASSAN,4,0.06
1177,H,MUHAMMAD HUSSAIN,4,0.06
1177,M,MYA,4,0.06
1177,M,M�RIDA,4,0.06
1177,M,NAREL,4,0.06
1177,M,NARJIS,4,0.06
1177,M,NATHALIA,4,0.06
1177,M,NAUSICA,4,0.06
1177,M,NERET,4,0.06
1177,H,NICCOLO,4,0.06
1177,M,NICOL,4,0.06
1177,M,NIEVES,4,0.06
1177,M,NIRMIN,4,0.06
1177,M,NOURA,4,0.06
1177,M,NURA,4,0.06
1177,H,OCTAVI,4,0.06
1177,H,OIER,4,0.06
1177,M,OLATZ,4,0.06
1177,M,OMNIA,4,0.06
1177,H,OSAMA,4,0.06
1177,H,OTHMAN,4,0.06
1177,M,OUMOU,4,0.06
1177,H,OUSMAN,4,0.06
1177,H,PIERRE,4,0.06
1177,M,QUIMA,4,0.06
1177,H,RAFA,4,0.06
1177,M,RAIHANA,4,0.06
1177,H,RAIMON/RAIM�N,4,0.06
1177,H,RAY,4,0.06
1177,H,RAYYAN,4,0.06
1177,M,REBECCA,4,0.06
1177,M,RENATA,4,0.06
1177,H,RIDA,4,0.06
1177,M,RIHANNA,4,0.06
1177,M,RINAD,4,0.06
1177,M,ROKAYA,4,0.06
1177,M,ROMAYSSA,4,0.06
1177,M,SAFIA,4,0.06
1177,H,SAJID,4,0.06
1177,M,SALIMATA,4,0.06
1177,M,SALSABIL,4,0.06
1177,H,SALVA,4,0.06
1177,M,SAMAR,4,0.06
1177,H,SAMIR,4,0.06
1177,M,SANAE,4,0.06
1177,M,SARA MARIA/SARA MAR�A,4,0.06
1177,M,SARA NICOLE,4,0.06
1177,H,SEKOU,4,0.06
1177,M,SERENA,4,0.06
1177,M,SIGRID,4,0.06
1177,M,SIHAM,4,0.06
1177,M,SIMONA,4,0.06
1177,M,SIRIN,4,0.06
1177,M,SOFIA ELENA/SOF�A ELENA,4,0.06
1177,H,SOUFIAN,4,0.06
1177,H,SOUFIANE,4,0.06
1177,H,SOUHAIL,4,0.06
1177,M,SOUHAILA,4,0.06
1177,H,SULAIMAN/SULAIM�N,4,0.06
1177,M,SUNDUS,4,0.06
1177,M,SURI,4,0.06
1177,M,TABITA,4,0.06
1177,M,TESSA,4,0.06
1177,H,THOR,4,0.06
1177,M,TIANA,4,0.06
1177,M,TIFFANY,4,0.06
1177,H,TIM,4,0.06
1177,H,URI,4,0.06
1177,M,VANESSA,4,0.06
1177,M,VIOLANT,4,0.06
1177,M,XANTAL,4,0.06
1177,M,XIMENA,4,0.06
1177,H,XOEL,4,0.06
1177,H,YASER,4,0.06
1177,H,YASIN,4,0.06
1177,H,YASSINE,4,0.06
1177,M,YOSRA,4,0.06
1177,H,YOUNESS,4,0.06
1177,H,YULEN,4,0.06
1177,M,YUXUAN,4,0.06
1177,M,ZAHRA,4,0.06
1177,H,�LEX GABRIEL/�LEX GABRIEL,4,0.06
